Routing table,,,,,
,,,,,
"path
(/jw/ch09는 공통)",method,입력 파라메터,"viewer
다음 행선지",넘겨줄 파라메터,설명
/user/list,GET,page,list viewer,list(user),list.jsp
/user/register,GET,,register Viewer,,register.jsp
,POST,"uid, pwd, pwd2(확인), name, email",/user/list?page=1,,"session의
currentUserPage"
/user/update,GET,,update viewer,user,update.jsp
,POST,"uid, pwd, pwd2(확인), name, email",/user/list?page=1,,"pwd, pwd2가 null이 아니면서 동일한 경우
패스워드 변경"
/user/delete,GET,uid,/user/list?page=1,,
/user/login,GET,,login viewer,,
,POST,"uid, pwd",/user/list?page=1,,"sessionUid, sessionUname
등록"
/user/logout,GET,,/user/list?page=1,,
,,,,,
/board/list,GET,"page, field, query","/board/list.jsp
(board viewer)",,
